 job_id |                                                  tool_id                                                  |  state  | total_filesize | num_files | runtime_seconds |   slots    |     memory_bytes     |        create_time         
   8586 | toolshed.g2.bx.psu.edu/repos/watsocam/rename_tiff_channels/rename_tiff_channels/0.0.1.2                   | deleted |          61484 |         2 |                 |            |                      | 2022-06-17 23:05:58.907198
   8588 | toolshed.g2.bx.psu.edu/repos/watsocam/rename_tiff_channels/rename_tiff_channels/0.0.1.2                   | deleted |          62577 |         2 |                 |            |                      | 2022-06-17 23:05:58.90721
   8607 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 18:45:43.003556
   6726 | gate_finder                                                                                               | ok      |       12010323 |         3 |    1223.0000000 |  1.0000000 |    672669696.0000000 | 2022-06-14 18:16:38.909589
   6735 | gate_finder                                                                                               | ok      |       13453917 |         3 |    1226.0000000 |  1.0000000 |    636219392.0000000 | 2022-06-14 18:16:38.909628
   8525 | gate_finder                                                                                               | ok      |          89948 |         3 |      28.0000000 |  1.0000000 |    622116864.0000000 | 2022-06-16 05:55:51.127622
   8579 | toolshed.g2.bx.psu.edu/repos/watsocam/rename_tiff_channels/rename_tiff_channels/0.0.1.2                   | deleted |          61482 |         2 |                 |            |                      | 2022-06-17 22:42:29.341793
   8723 | __DATA_FETCH__                                                                                            | ok      |                |           |       7.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 23:43:13.091131
   8755 | __DATA_FETCH__                                                                                            | ok      |                |           |      13.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 23:51:49.031139
   8757 | __DATA_FETCH__                                                                                            | ok      |                |           |      11.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 23:51:52.623833
   8760 | __DATA_FETCH__                                                                                            | ok      |                |           |       6.0000000 |  1.0000000 |  15896084480.0000000 | 2022-06-21 23:52:56.614678
   8792 | unet_coreograph                                                                                           | error   |        1284921 |         1 |      40.0000000 |  8.0000000 |    500469760.0000000 | 2022-06-22 00:12:46.216444
   9284 | quantification                                                                                            | ok      |         101960 |         3 |      44.0000000 |  8.0000000 |    553181184.0000000 | 2022-06-24 21:14:13.589618
   6742 | gate_finder                                                                                               | ok      |       10170171 |         3 |    1231.0000000 |  1.0000000 |    664805376.0000000 | 2022-06-14 18:16:38.909659
   9268 | quantification                                                                                            | ok      |          96401 |         3 |      47.0000000 |  8.0000000 |    555991040.0000000 | 2022-06-24 21:14:13.589557
